Nombre,Metodo_deteccion,Radio,Periodo_orbital,Indice_similitud_tierra,Distancia_estrella,Distancia_tierra,Radio_estrella,Ascension_recta,Declinacion
Kepler-836 b,Transit,2.73524,11.361123,0.23113628,0.030632695705521476,1003.0,1.04,19.16352,45.704399
Kepler-837 b,Transit,2.55588,16.560595,0.26444344,0.036938751533742334,846.0,0.81,19.016446,45.950195
Kepler-838 b,Transit,2.73524,15.74958,0.2408172,0.03745817791411043,1210.0,0.96,19.029035,45.976021
Kepler-839 b,Transit,2.56709,37.814451,0.26129959,0.07225209509202454,833.0,1.31,19.404979,45.242584
Kepler-84 b,Transit,2.23079,8.726,0.2711924,0.031595092024539875,1443.27,1.17,19.883471,40.496077
Kepler-84 c,Transit,2.36531,12.883,0.2711924,0.031595092024539875,1443.27,1.17,19.883471,40.496077
Kepler-84 d,Transit,1.37883,4.224537,0.2863064,0.015950920245398775,1443.27,1.17,19.883471,40.496077
Kepler-84 e,Transit,2.60072,27.434389,0.25165718,0.055521472392638035,1443.27,1.17,19.883471,40.496077
Kepler-84 f,Transit,2.19716,44.552169,0.29382925,0.07668711656441718,1443.27,1.17,19.883471,40.496077
Kepler-840 b,Transit,17.07283,2.4957796,0.054847891,0.0111885518404908,778.0,1.06,19.767161,49.457291000000005
Kepler-841 b,Transit,5.23507,124.41984,0.45047988,0.14169615030674848,1052.0,0.81,18.950088,48.809611999999994
Kepler-842 b,Transit,1.60303,1.2195683,0.27637083,0.006306584355828221,552.0,0.73,19.488573,49.653538
Kepler-843 b,Transit,2.58951,2.0538798,0.22785759,0.009762072392638037,1247.0,1.03,19.754801,48.971478000000005
Kepler-844 b,Transit,1.6815,2.6130209,0.28594189,0.0095500254601227,394.0,0.57,19.190516,48.774113
Kepler-845 b,Transit,2.04022,0.92785982,0.25399624,0.005278241104294479,471.0,0.75,19.397172,49.203812000000006
Kepler-846 b,Transit,2.47741,19.807922,0.2662761,0.04304214110429448,1233.0,0.91,19.137135,49.046020999999996
Kepler-847 b,Transit,1.17705,2.3432319,0.29523191,0.009950880061349695,529.0,0.77,18.900321,49.451015000000005
Kepler-848 b,Transit,1.70392,6.9113442,0.27442067,0.021849462576687115,797.0,1.2,19.552553,48.811619
Kepler-849 b,Transit,7.14077,394.62449,0.38353782,0.34597898773006136,747.0,1.64,19.39012,48.521339
Kepler-85 b,Transit,1.97296,8.306,0.2711924,0.031595092024539875,782.09,0.89,19.39823,45.290318
Kepler-85 c,Transit,2.17474,12.513,0.2711924,0.031595092024539875,782.09,0.89,19.39823,45.290318
Kepler-85 d,Transit,1.19947,17.91323,0.32737244,0.03987730061349694,782.09,0.89,19.39823,45.290318
Kepler-85 e,Transit,1.26673,25.216751,0.34572048,0.05,782.09,0.89,19.39823,45.290318
Kepler-850 b,Transit,1.78239,7.1930388,0.27115203,0.022803535276073622,1535.0,1.09,19.538965,48.575390000000006
Kepler-851 b,Transit,1.6815,8.5069966,0.28495774,0.024058735582822087,869.0,0.85,19.645353,49.14016
Kepler-852 b,Transit,2.54467,44.93098,0.27955259,0.08038435889570551,854.0,1.16,19.826107,48.560691999999996
Kepler-853 b,Transit,1.69271,7.1689246,0.27233217,0.024354305521472396,610.0,1.55,18.929123,49.110325
Kepler-854 b,Transit,16.72532,2.1446328,0.055321372,0.010517742638036811,741.0,1.27,19.556754,43.13464
Kepler-855 b,Transit,8.35145,7.8866311,0.10669348,0.024015891717791414,1043.0,1.03,19.673,43.537586
Kepler-856 b,Transit,9.3043,8.0276806,0.10080987,0.023737907055214724,1175.0,0.93,19.306923,46.314952999999996
Kepler-857 b,Transit,6.80447,85.351294,0.25592549,0.11596059815950921,1039.0,0.99,19.64216,43.400467
Kepler-858 b,Transit,4.86514,76.13602,0.30662923,0.10635938957055216,296.0,0.91,19.256576,51.209049
Kepler-859 b,Transit,3.09396,20.381776,0.27052542,0.04174601226993865,915.0,0.77,19.116126,43.190107999999995
Kepler-860 b,Transit,3.23969,5.1013794,0.20397397,0.01802027791411043,1295.0,1.06,19.705152,46.254742
Kepler-861 b,Transit,2.27563,3.9496314,0.24891681,0.014036783742331289,806.0,0.78,19.490263,46.22628
Kepler-862 b,Transit,2.20837,3.1486645,0.24858818,0.012355787730061352,806.0,0.84,19.851952,46.492741
Kepler-863 b,Transit,2.90339,15.594619,0.23481371,0.03695718404907976,1145.0,0.95,19.844303,43.248962
Kepler-864 b,Transit,2.39894,5.8337609,0.24067216,0.019450213496932517,1573.0,1.0,19.003807,46.320675
Kepler-865 b,Transit,2.48862,14.163993,0.25305106,0.03429599693251534,664.0,0.92,19.848287,43.527435
