,P_NAME,P_STATUS,P_DETECTION,P_MASS,P_RADIUS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_ESI,P_DISTANCE,S_DISTANCE,S_MASS,S_RADIUS_EST,S_TYPE,S_CONSTELLATION,S_RA_H,S_DEC_T,P_HABZONE_CON
1121,K2-242 b,3.0,Transit,,2.54467,6.51389,,7.1951598,0.38300591,0.0494,33.61963190184049,0.38,0.37,,Virgo,11.989061,-5.482149,0
1122,K2-243 b,3.0,Transit,,2.17474,11.54182,,272.97359,0.25087605,0.1087,82.57668711656441,1.29,1.39,,Virgo,12.074761,-3.100815,0
1123,K2-243 c,3.0,Transit,,2.00659,24.94598,,97.694445,0.26789041,0.1817,82.57668711656441,1.29,1.39,,Virgo,12.074761,-3.100815,0
1124,K2-244 b,3.0,Transit,,1.74876,21.06884,,39.173053,0.3010327,0.1418,65.6441717791411,0.86,0.92,,Virgo,12.231262,-2.1681320000000004,0
1125,K2-245 b,3.0,Transit,,4.33827,11.89307,,171.42951,0.17295852,0.0959,142.14723926380367,0.83,1.25,,Virgo,12.345446,-0.40911099999999995,0
1126,K2-246 b,3.0,Transit,,3.48631,5.76918,,216.37288,0.1972485,0.0602,221.80981595092027,0.87,0.94,,Virgo,12.108648,-0.83944,0
1127,K2-247 b,3.0,Transit,,2.11869,2.25021,,218.97315,0.25482622,0.0304,79.8159509202454,0.74,0.69,,Virgo,12.592913,-9.930768,0
1128,K2-247 c,3.0,Transit,,2.18595,6.49424,,53.504191,0.26975244,0.0615,79.8159509202454,0.74,0.69,,Virgo,12.592913,-9.930768,0
1129,K2-248 b,3.0,Transit,,2.56709,7.17256,,144.93794,0.23652769,0.0699,125.92024539877302,0.88,0.92,,Virgo,12.187817,-8.585995,0
1130,K2-249 b,3.0,Transit,,2.79129,12.409,,298.30425,0.22221051,0.1151,162.05521472392638,1.32,1.57,,Virgo,12.224445,-7.004886,0
1131,K2-25 b,3.0,Transit,,3.43026,3.484552,0.27,9.0312835,0.31373637,0.03085237,13.80674846625767,0.29,0.29,M4.5,Taurus,4.2182292,15.247762999999999,0
1132,K2-250 b,3.0,Transit,,2.44378,4.01457,,199.64911,0.23976038,0.0459,128.09815950920247,0.8,0.81,,Virgo,12.335452,-7.024215,0
1133,K2-251 b,3.0,Transit,,2.3541,9.30075,,8.5257405,0.37264327,0.0694,45.306748466257666,0.52,0.49,,Virgo,12.712616,-7.46408,0
1134,K2-252 b,3.0,Transit,,1.73755,13.81513,,39.16682,0.30161559,0.1041,70.52147239263805,0.79,0.82,,Virgo,12.157758,-7.69048,0
1135,K2-253 b,3.0,Transit,,12.6673,4.00167,,558.69881,0.072204094,0.0506,276.62576687116564,1.08,1.1,,Virgo,12.405694,-5.621116000000001,0
1136,K2-254 b,3.0,Transit,,1.62545,4.09639,,92.009135,0.28788787,0.0448,70.3680981595092,0.71,0.67,,Virgo,12.370051,-3.282764,0
1137,K2-254 c,3.0,Transit,,2.18595,12.11839,,21.676221,0.30359923,0.0923,70.3680981595092,0.71,0.67,,Virgo,12.370051,-3.282764,0
1138,K2-255 b,3.0,Transit,,2.90339,1.96417,,271.63374,0.21796417,0.0274,59.018404907975466,0.71,0.69,,Virgo,12.660867,-2.629458,0
1139,K2-256 b,3.0,Transit,,2.63435,5.52011,,121.05183,0.23523816,0.0578,178.0674846625767,0.84,0.78,,Virgo,12.415145,-1.934069,0
1140,K2-257 b,3.0,Transit,,0.82954,1.60588,,92.432832,0.30490019,0.0216,19.662576687116562,0.52,0.5,,Virgo,12.5519,-0.04684100000000004,0
1141,K2-258 b,3.0,Transit,,3.00428,19.0921,,112.67489,0.2203667,0.149,207.11656441717795,1.21,1.31,,Virgo,12.508756,-0.8390799999999999,0
1142,K2-259 b,3.0,Transit,,2.32047,15.48043,,95.446112,0.25263732,0.1271,129.47852760736197,1.14,1.13,,Virgo,12.453513,1.566849,0
1143,K2-26 b,3.0,Transit,,2.66798,14.5665,,5.3728996,0.41792615,0.0962,30.469325153374236,0.56,0.52,M1.0 V,Gemini,6.2804391,24.596411,0
1144,K2-260 b,3.0,Transit,451.31576,17.39792,2.6266657,0.0,2576.5509,0.05320271,0.0404,207.46012269938655,1.39,1.69,F6 V,Taurus,5.1244886,16.867718,0
1145,K2-261 b,3.0,Transit,70.875645,9.5285,11.63344,0.39,239.32164,0.094575045,0.1097571,65.82208588957056,1.1,1.65,G7 IV/V,Leo,10.868829,0.493352,0
1146,K2-263 b,3.0,Transit,14.80125,2.41015,50.818947,0.14,8.1996498,0.37411723,0.25982154,50.07055214723926,0.88,0.85,G9 V,Cancer,8.645493,15.680626,0
1147,K2-264 b,3.0,Transit,,2.23079,5.840002,,14.0761,0.33014708,0.05023,57.361963190184056,0.5,0.47,M2.5 V,Cancer,8.7572382,19.698462,0
1148,K2-264 c,3.0,Transit,,2.66798,19.660302,,2.789713,0.53641913,0.11283,57.361963190184056,0.5,0.47,M2.5 V,Cancer,8.7572382,19.698462,0
1149,K2-265 b,3.0,Transit,6.5409003,1.71513,2.369172,0.084,681.78039,0.27078026,0.033879105,42.70552147239264,0.92,0.98,G8 V,Aquarius,22.802103,-13.505311,0
1150,K2-266 b,3.0,Transit,11.267003,3.29574,0.658524,,867.7641,0.19968494,0.01306,23.66871165644172,0.69,0.7,,Sextans,10.52903,0.937571,0
1151,K2-266 c,3.0,Transit,0.28922348,0.70623,7.814,0.042,32.131564,0.32451597,0.067959888,23.66871165644172,0.69,0.7,,Sextans,10.52903,0.937571,0
1152,K2-266 d,3.0,Transit,8.8991841,2.92581,14.697,0.047,13.832082,0.2967443,0.10361432,23.66871165644172,0.69,0.7,,Sextans,10.52903,0.937571,0
1153,K2-266 e,3.0,Transit,14.299082,2.73524,19.482,0.043,9.4965319,0.34005981,0.12501547,23.66871165644172,0.69,0.7,,Sextans,10.52903,0.937571,0
1154,K2-268 b,3.0,Transit,,1.41246,2.151894,,379.07299,0.28630036,0.0308,101.67484662576688,0.84,0.78,,Cancer,8.9139704,11.848265000000001,0
1155,K2-268 c,3.0,Transit,,2.6904,9.326841,,53.611317,0.24570923,0.0819,101.67484662576688,0.84,0.78,,Cancer,8.9139704,11.848265000000001,0
1156,K2-269 b,3.0,Transit,,1.5694,4.144965,,992.93827,0.27712733,0.0531,111.06441717791411,1.16,1.45,,Cancer,8.6770116,13.014676,0
1157,K2-27 b,3.0,Transit,30.899238,4.484,6.771315,0.251,123.8128,0.17180369,0.069131164,77.12576687116565,0.87,0.89,,Leo,11.434345,1.230738,0
1158,K2-270 b,3.0,Transit,,1.37883,1.543069,,492.59184,0.28681235,0.0247,86.97239263803681,0.85,0.77,,Cancer,8.7511073,13.549833,0
1159,K2-270 c,3.0,Transit,,2.94823,4.400028,,121.66575,0.22181502,0.0497,86.97239263803681,0.85,0.77,,Cancer,8.7511073,13.549833,0
1160,K2-271 b,3.0,Transit,,7.27529,8.562421,,150.28845,0.12000589,0.077,175.29754601226995,0.83,0.99,,Cancer,8.3482594,16.090946,0
1161,K2-272 b,3.0,Transit,,2.9146,14.453533,,43.379436,0.24134653,0.1081,130.84969325153375,0.81,0.81,,Cancer,8.8414087,17.542444000000003,0
1162,K2-273 b,3.0,Transit,,4.41674,11.716332,,48.723971,0.18788862,0.0974,95.27607361963192,0.9,0.84,,Cancer,8.6518041,19.010023,0
1163,K2-274 b,3.0,Transit,,2.19716,14.129714,,28.522437,0.28960993,0.1064,71.41717791411043,0.81,0.74,,Cancer,8.6188298,20.399372,0
1164,K2-275 b,3.0,Transit,,2.242,3.280961,,159.99885,0.25097644,0.04,38.064417177914116,0.79,0.73,,Cancer,8.8113265,20.455076,0
1165,K2-275 c,3.0,Transit,,2.34289,8.438756,,45.510784,0.26609856,0.075,38.064417177914116,0.79,0.73,,Cancer,8.8113265,20.455076,0
1166,K2-276 b,3.0,Transit,,3.76656,18.718269,,27.08872,0.22555184,0.1291,150.26993865030676,0.82,0.85,,Cancer,8.3968505,22.634024,0
1167,K2-277 b,3.0,Transit,,2.07385,6.326763,,200.99014,0.25759156,0.0675,34.82515337423313,1.02,0.97,,Virgo,13.467776,-14.06218,0
1168,K2-278 b,3.0,Transit,,2.98186,3.334966,,2020.8943,0.21077571,0.0488,246.66564417177915,1.4,1.61,,Virgo,13.553452,-13.495944,0
1169,K2-279 b,3.0,Transit,,1.21068,7.122605,,140.86727,0.29961238,0.067,56.380368098159515,0.79,0.86,,Virgo,13.651982,-5.958406,0
1170,K2-28 b,3.0,Transit,,2.32047,2.260455,0.0,17.556607,0.30927379,0.0214,19.358895705521473,0.26,0.29,M4,Aquarius,22.374961,-6.044633999999999,0
1171,K2-280 b,3.0,Transit,,7.66764,19.895202,,72.070158,0.1231411,0.1488,121.74846625766871,1.11,1.28,,Sagittarius,19.43969,-21.752337999999998,0
1172,K2-281 b,3.0,Transit,,8.1833,8.687721,,46.436483,0.12555388,0.0773,142.97852760736197,0.82,0.76,,Pisces,1.0818234,7.269234,0
1173,K2-282 b,3.0,Transit,,2.82492,4.169836,,,,0.0499,154.07361963190183,0.94,,,Pisces,0.89546785,7.995316,0
1174,K2-283 b,3.0,Transit,,3.51994,1.921036,,466.37197,0.19306625,0.0291,125.22699386503069,0.89,0.82,,Pisces,0.87962765,9.692924,0
1175,K2-284 b,3.0,Transit,,2.78008,4.795069,0.078,43.157473,0.24726388,0.047855134,33.00613496932515,0.63,0.61,,Taurus,5.276046,20.255108,0
1176,K2-285 b,3.0,Transit,9.681041,2.58951,3.471745,0.0,235.10986,0.23213908,0.03817,47.74539877300614,0.83,0.79,K2 V,Pisces,23.292286,1.30029,0
1177,K2-285 c,3.0,Transit,15.678455,3.53115,7.138048,0.0,50.449951,0.2139301,0.0824,47.74539877300614,0.83,0.79,K2 V,Pisces,23.292286,1.30029,0
1178,K2-285 d,3.0,Transit,6.4995827,2.47741,10.45582,0.0,24.684514,0.28207488,0.1178,47.74539877300614,0.83,0.79,K2 V,Pisces,23.292286,1.30029,0
1179,K2-285 e,3.0,Transit,10.701269,1.95054,14.76289,0.0,10.524318,0.37277921,0.18041,47.74539877300614,0.83,0.79,K2 V,Pisces,23.292286,1.30029,0
1180,K2-286 b,3.0,Transit,,2.09627,27.359,,2.6176326,0.5966982,0.1768,23.411042944785276,0.64,0.62,M0 V,Libra,15.557972,-15.226744,0
1181,K2-287 b,3.0,Transit,100.11582,9.49487,14.893291,0.478,84.462519,0.10308263,0.13437759,48.788343558282214,1.06,1.07,,Libra,15.53829,-21.641738999999998,0
1182,K2-288 B b,3.0,Transit,,1.9057,31.393463,,0.4250175,0.63947201,0.164,20.15950920245399,0.33,0.32,M3 V,Taurus,3.6962295,18.268902,1
