,P_NAME,P_STATUS,P_DETECTION,P_MASS,P_RADIUS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_ESI,P_DISTANCE,S_DISTANCE,S_MASS,S_RADIUS_EST,S_TYPE,S_CONSTELLATION,S_RA_H,S_DEC_T,P_HABZONE_CON
0,11 Com b,3.0,Radial Velocity,6165.8633,,326.03,0.231,101.01141,0.083813263,1.3244178,28.64110429447853,2.7,19.0,K0 III,Coma Berenices,12.345286,17.792868000000002,0
1,11 UMi b,3.0,Radial Velocity,4684.7848,,516.21997,0.08,107.35118,0.082414476,1.534896,38.564417177914116,2.78,29.79,K4 III,Ursa Minor,15.28497,71.823898,0
2,14 And b,3.0,Radial Velocity,1525.5744,,185.84,0.0,84.446427,0.081917127,0.83,23.18711656441718,2.2,11.0,G8 III,Andromeda,23.521506,39.236198,0
3,14 Her b,3.0,Radial Velocity,1481.0785,,1773.4,0.37,0.078886561,0.14524062,3.1305585,5.503067484662577,0.9,0.93,K0 V,Hercules,16.173421,43.817646,0
4,16 Cyg B b,3.0,Radial Velocity,565.73385,,798.5,0.68,0.61897215,0.36862709,2.043792,6.487730061349693,1.08,1.13,G2.5 V,Cygnus,19.697771,50.517525,1
5,18 Del b,3.0,Radial Velocity,3273.6284,,993.3,0.08,5.9039479,0.21617437,2.60832,23.429447852760735,2.3,8.5,G6 III,Delphinus,20.973872,10.839286000000001,0
6,1RXS J160929.1-210524 b,3.0,Imaging,2542.624,,,,,,330.0,44.47852760736197,0.85,,K7 V,Scorpius,16.158419,-20.916964,0
7,24 Boo b,3.0,Radial Velocity,289.22348,,30.3506,0.042,1611.9403,0.065684936,0.19016758,29.524539877300615,0.99,10.64,G3 IV,Bootes,14.477171,49.844852,0
8,24 Sex b,3.0,Radial Velocity,632.47773,,452.8,0.09,8.2108078,0.17730446,1.3383987,22.150306748466257,1.54,4.9,K0 IV,Sextans,10.391215,0.902244,0
9,24 Sex c,3.0,Radial Velocity,273.33208,,883.0,0.29,3.5093722,0.2724776,2.167464,22.150306748466257,1.54,4.9,K0 IV,Sextans,10.391215,0.902244,0
10,2MASS J01225093-2439505 b,3.0,Imaging,7786.7861,,,,,,52.0,11.042944785276074,0.4,,M3.5 V,Cetus,1.3808163,-23.335951,0
11,2MASS J02192210-3925225 b,3.0,Imaging,4417.8092,16.1424,,,2.5439616e-07,0.056530021,156.0,12.085889570552148,0.11,0.28,M6,Fornax,2.3228072,-38.577072,0
12,2MASS J04414489+2301513 b,3.0,Imaging,2383.71,,,,,,15.0,42.944785276073624,0.02,,M8.5,Taurus,4.6958051,23.030941,0
13,2MASS J12073346-3932539 b,3.0,Imaging,1271.312,,,,,,46.0,19.76073619631902,0.02,,M8,Centaurus,12.125964,-38.451668000000005,0
14,2MASS J19383260+4603591 b,3.0,Eclipse Timing Variations,603.87321,,416.0,,,,0.92,122.93558282208589,0.48,,,Cygnus,19.642392,46.066418,0
15,2MASS J21402931+1625183 A b,3.0,Imaging,6658.4967,10.3132,7336.5,0.26,3.690033e-05,0.084157251,3.2908045,7.668711656441718,0.08,0.12,M8.5,Pegasus,21.674812,16.421759,0
16,2MASS J22362452+4751425 b,3.0,Imaging,3972.85,,,,,,230.0,22.699386503067487,0.6,,K7 V,Lacerta,22.606815,47.86182,0
17,30 Ari B b,3.0,Radial Velocity,4392.383,,335.10001,0.29,3.050856,0.30089651,1.0316295,13.714723926380369,1.93,1.41,F6 V,Aries,2.6160391,24.648063999999998,0
18,4 UMa b,3.0,Radial Velocity,2256.5788,,269.3,0.432,163.55514,0.076992961,0.95118144,22.570552147239265,1.23,18.11,K1 III,Ursa Major,8.6702275,64.327934,0
19,42 Dra b,3.0,Radial Velocity,1233.1727,,479.1,0.38,103.29647,0.07908401,1.275918,27.871165644171782,0.98,22.03,K1.5 III,Draco,18.433094,65.563484,0
20,47 UMa b,3.0,Radial Velocity,804.10485,,1078.0,0.032,0.37062414,0.31106267,2.1010752,4.233128834355829,1.03,1.23,G0 V,Ursa Major,10.991105,40.430256,1
21,47 UMa c,3.0,Radial Velocity,171.62712,,2391.0,0.098,0.12666026,0.17714066,3.6172872,4.233128834355829,1.03,1.23,G0 V,Ursa Major,10.991105,40.430256,0
22,47 UMa d,3.0,Radial Velocity,521.23792,,14002.0,0.16,0.01229887,0.079493064,11.74848,4.233128834355829,1.03,1.23,G0 V,Ursa Major,10.991105,40.430256,0
23,51 Eri b,3.0,Imaging,,,11688.0,0.45,,,13.215,9.01840490797546,1.75,,F0 IV,Eridanus,4.6267036,-1.526452,0
24,51 Peg b,3.0,Radial Velocity,150.01482,,4.230785,0.013,523.21565,0.065394653,0.052704453,4.745398773006135,1.12,1.2,G2.5 IV,Pegasus,22.957773,20.768833,0
25,55 Cnc b,3.0,Radial Velocity,263.98794,,14.65152,0.0034,43.462522,0.088599759,0.11522767,3.861963190184049,0.91,0.94,G8 V,Cancer,8.8766149,28.330818,0
26,55 Cnc c,3.0,Radial Velocity,54.47572,,44.4175,0.02,9.9064859,0.19669217,0.24142428,3.861963190184049,0.91,0.94,G8 V,Cancer,8.8766149,28.330818,0
27,55 Cnc d,3.0,Radial Velocity,1232.537,,4825.0,0.019,0.019059008,0.08875056,5.5039933,3.861963190184049,0.91,0.94,G8 V,Cancer,8.8766149,28.330818,0
28,55 Cnc e,3.0,Radial Velocity,8.0791878,1.9057,0.736539,,2420.6184,0.2598972,0.01544,3.861963190184049,0.91,0.94,G8 V,Cancer,8.8766149,28.330818,0
29,55 Cnc f,3.0,Radial Velocity,44.813748,,262.0,0.305,0.97582251,0.45748768,0.82465185,3.861963190184049,0.91,0.94,G8 V,Cancer,8.8766149,28.330818,1
30,6 Lyn b,3.0,Radial Velocity,638.83429,,934.3,0.073,3.244106,0.28576359,2.1156221,16.791411042944787,1.44,5.2,K0 III-IV,Lynx,6.5130857,58.162632,0
31,61 Vir b,3.0,Radial Velocity,5.085248,,4.215,0.12,319.27036,0.25355145,0.050562447,2.610429447852761,0.94,0.96,G5 V,Virgo,13.306755,-17.688805,0
32,61 Vir c,3.0,Radial Velocity,18.116196,,38.021,0.14,17.0535,0.22814035,0.2196315,2.610429447852761,0.94,0.96,G5 V,Virgo,13.306755,-17.688805,0
33,61 Vir d,3.0,Radial Velocity,22.883616,,123.01,0.35,3.7635373,0.37195088,0.505155,2.610429447852761,0.94,0.96,G5 V,Virgo,13.306755,-17.688805,0
34,7 CMa b,3.0,Radial Velocity,781.85689,,796.0,0.22,0.68781196,0.37834721,1.976706,6.079754601226995,1.52,2.3,K1 III,Canis Major,6.6113997,-18.744122,1
35,70 Vir b,3.0,Radial Velocity,2357.0125,,116.688,0.3988,13.753258,0.14126541,0.51924947,5.493865030674847,1.09,1.89,G4 V,Virgo,13.473837,13.778788,0
36,75 Cet b,3.0,Radial Velocity,953.48401,,691.9,0.117,12.438138,0.14524422,2.1143734,25.506134969325156,2.49,10.5,G3 III,Cetus,2.5359503,-0.965104,0
37,8 UMi b,3.0,Radial Velocity,416.35468,,93.4,0.06,218.9002,0.070820113,0.490882,50.09815950920245,1.44,10.3,K0,Ursa Minor,14.946766,74.900925,0
38,81 Cet b,3.0,Radial Velocity,1684.4884,,952.7,0.206,9.2926133,0.16929368,2.553045,31.144171779141107,2.4,11.0,G5 III,Cetus,2.628278,-2.603825,0
39,91 Aqr b,3.0,Radial Velocity,1017.0496,,181.4,0.027,104.81969,0.078414548,0.70025515,13.521472392638037,1.4,11.0,K0 III,Aquarius,23.264861,-8.912263,0
40,AB Pic b,3.0,Imaging,4290.678,,,,,,260.0,15.374233128834357,,,K2 V,Pictor,6.3202538,-57.945690000000006,0
41,BD+03 2562 b,3.0,Radial Velocity,2034.0992,,481.9,0.2,159.23206,0.076881824,1.326,803.0674846625767,1.14,32.35,,Virgo,11.837654,2.760142,0
42,BD+14 4559 b,3.0,Radial Velocity,330.54112,,268.94,0.29,0.63701048,0.3690268,0.812799,15.15950920245399,0.49,0.86,K2 V,Pegasus,21.226665,14.689387,1
43,BD+15 2375 b,3.0,Radial Velocity,337.21551,,153.22,0.001,101.0481,0.075857,0.57600029,237.42331288343559,1.08,8.95,G5,Leo,11.765479,14.616381,0
44,BD+15 2940 b,3.0,Radial Velocity,352.78908,,137.48,0.26,365.14163,0.068451851,0.5572182,132.3957055214724,1.1,14.7,K0,Serpens,16.006372,15.54693,0
45,BD+20 2457 b,3.0,Radial Velocity,17668.059,,379.63,0.15,1364.0917,0.077113291,1.0618125,512.5306748466257,10.83,71.02,K2 II,Leo,10.279128,19.891409,0
46,BD+20 2457 c,3.0,Radial Velocity,3963.3152,,621.99,0.18,374.14548,0.074902725,2.042562,512.5306748466257,10.83,71.02,K2 II,Leo,10.279128,19.891409,0
47,BD+20 274 b,3.0,Radial Velocity,1334.8776,,578.2,0.21,55.277069,0.087983596,1.328665,424.49386503067484,0.8,17.3,K5 III,Pisces,1.7280217,21.005314,0
48,BD+20 594 b,3.0,Transit,22.24796,2.5783,41.6855,0.0,14.830572,0.30796205,0.27908623,55.33435582822086,1.67,1.08,G,Taurus,3.5767313,20.599231999999997,0
49,BD+48 738 b,3.0,Radial Velocity,289.22348,,392.6,0.2,42.001782,0.089639787,1.02,273.6717791411043,0.74,11.0,K0 III,Perseus,2.7140151,49.586960000000005,0
50,BD+48 740 b,3.0,Radial Velocity,540.3076,,733.0,0.76,21.51075,0.11328601,2.19096,208.26380368098162,1.09,10.33,K3 III,Perseus,2.7161714,48.930060999999995,0
51,BD+49 828 b,3.0,Radial Velocity,508.5248,,2590.0,0.35,1.869632,0.35395377,4.45725,137.29754601226995,1.52,7.6,K0,Perseus,3.0427021,49.730011000000005,0
52,BD-06 1339 b,3.0,Radial Velocity,8.5813561,,3.8728,0.0,59.571932,0.23577592,0.0428,6.220858895705522,0.7,0.59026756,K7/M0 V,Orion,5.8834125,-4.005156,0
53,BD-06 1339 c,3.0,Radial Velocity,54.03076,,125.94,0.31,0.6065834,0.41593589,0.45590175,6.220858895705522,0.7,0.59026756,K7/M0 V,Orion,5.8834125,-4.005156,1
54,BD-08 2823 b,3.0,Radial Velocity,12.71312,,5.6,0.15,68.263786,0.20503107,0.060675,12.693251533742332,0.5,0.71,K3 V,Sextans,10.013256,-8.483319999999999,0
55,BD-08 2823 c,3.0,Radial Velocity,104.88324,,237.6,0.19,0.53520165,0.36057653,0.692274,12.693251533742332,0.5,0.71,K3 V,Sextans,10.013256,-8.483319999999999,1
56,BD-10 3166 b,3.0,Radial Velocity,187.51852,,3.48777,0.02,392.33767,0.06663348,0.040008,25.95398773006135,1.47,0.91,K0 V,Crater,10.974667,-9.229624,0
57,BD-11 4672 b,3.0,Radial Velocity,168.44884,,1667.0,0.05,0.018712911,0.083110123,2.28285,8.374233128834357,0.57,0.52,K7 V,Scutum,18.558011,-10.363961,0
58,BD-13 2130 b,3.0,Radial Velocity,3108.3579,,714.29999,0.21,52.149004,0.091453244,1.696603,291.0276073619632,2.12,19.17,G5 IV/V,Puppis,7.6192309,-12.093361,0
59,BD-17 63 b,3.0,Radial Velocity,905.80981,,655.59998,0.54,0.15374812,0.20149258,1.535372,10.579754601226995,0.31,0.74,K5 V,Cetus,0.47619616,-15.773655,0
60,CFBDSIR J145829+101343 b,3.0,Imaging,3337.194,,10037.5,,1.5688472e-07,0.071553799,2.6,7.0858895705521485,0.02,0.10209745,,Bootes,14.974723,10.228611,0
61,CHXR 73 b,3.0,Imaging,3994.7802,,,,,,210.0,58.60429447852761,0.35,,M3.5,Chamaeleon,11.107993,-76.37412300000001,0
62,CI Tau b,3.0,Radial Velocity,3686.8048,,8.9891,0.25,,,0.084223218,48.46625766871166,0.9,,K7,Taurus,4.5644488,22.841696,0
63,CT Cha b,3.0,Imaging,5403.076,24.662,,,,,440.0,50.61349693251534,,,K5e,Chamaeleon,11.069192,-75.544617,0
64,CoRoT-1 b,3.0,Transit,327.36284,16.7029,1.5089557,0.0,2160.7225,0.055287801,0.025304732,247.0276073619632,0.95,1.11,G0 V,Monoceros,6.805326,-2.897853,0
65,CoRoT-10 b,3.0,Transit,874.02701,10.8737,13.2406,0.53,39.299539,0.10705569,0.12031747,105.82822085889572,0.89,0.79,K1 V,Aquila,19.404248,0.746143,0
66,CoRoT-11 b,3.0,Transit,740.53925,16.0303,2.99433,0.0,1521.5992,0.057585358,0.0436,171.7791411042945,1.27,1.37,F6 V,Serpens,18.712485,5.9376880000000005,0
67,CoRoT-12 b,3.0,Transit,291.44828,16.1424,2.828042,0.07,724.54837,0.057989717,0.040258392,352.76073619631904,1.08,1.12,,Monoceros,6.7177122,-0.703561,0
68,CoRoT-13 b,3.0,Transit,415.71903,9.92085,4.03519,0.0,438.93325,0.089452023,0.051,325.15337423312883,1.09,1.01,G0 V,Monoceros,6.8480762,-4.913555000000001,0
69,CoRoT-14 b,3.0,Transit,2415.4928,12.2189,1.51214,0.0,2386.937,0.073010313,0.027,411.0429447852761,1.13,1.21,F9 V,Monoceros,6.8949478,-4.463963,0
70,CoRoT-16 b,3.0,Transit,170.03798,13.1157,5.35227,0.33,358.62139,0.071126858,0.06516501,257.66871165644176,1.1,1.19,G5 V,Scutum,18.568314,-5.997405,0
71,CoRoT-17 b,3.0,Transit,772.32205,11.4342,3.7681,0.0,1156.9874,0.077848461,0.0461,282.2085889570552,1.04,1.59,G2 V,Scutum,18.579951,-5.387766,0
72,CoRoT-18 b,3.0,Transit,1102.8632,14.6851,1.9000693,0.08,904.55384,0.062762778,0.0295944,266.8711656441718,0.95,1.0,G9 V,Monoceros,6.5448277,0.031586,0
73,CoRoT-19 b,3.0,Transit,352.78908,14.4609,3.89713,0.047,1251.833,0.063296681,0.051857213,236.19631901840492,1.21,1.65,F9 V,Monoceros,6.4689058,0.170681,0
74,CoRoT-2 b,3.0,Transit,1102.8632,16.43386,1.7429935,0.0143,948.87833,0.056730355,0.027982861,61.34969325153374,0.96,0.91,,Aquila,19.451805,1.3837139999999999,0
75,CoRoT-20 b,3.0,Transit,1366.6604,,9.24285,0.59,,,0.1056645,265.12576687116564,1.14,,G2 V,Monoceros,6.5146942,0.226919,0
76,CoRoT-20 c,3.0,Radial Velocity,5403.076,,1675.0,0.6,,,3.422,265.12576687116564,1.14,,G2 V,Monoceros,6.5146942,0.226919,0
77,CoRoT-21 b,3.0,Transit,718.29129,14.573,2.72474,0.0,2895.0263,0.062381207,0.0417,429.08895705521473,1.29,1.95,F8 IV,Monoceros,6.7368304,0.29913,0
78,CoRoT-22 b,3.0,Transit,12.077464,4.87635,9.75598,0.077,171.65928,0.15972958,0.092272734,181.5950920245399,1.1,1.14,G3 V,Serpens,18.711142,6.219136,0
79,CoRoT-23 b,3.0,Transit,889.91841,11.7705,3.6313,0.16,1237.3636,0.075857806,0.0486144,184.04907975460125,1.14,1.61,G0 V,Serpens,18.652175,4.357806,0
80,CoRoT-24 b,3.0,Transit,5.7209041,3.6993,5.1134,0.0,126.86163,0.19411491,0.056,184.04907975460125,0.91,0.86,K1 V,Monoceros,6.7948368,-2.280699,0
81,CoRoT-24 c,3.0,Transit,27.968864,4.9324,11.759,0.0,41.424206,0.17922871,0.098,184.04907975460125,0.91,0.86,K1 V,Monoceros,6.7948368,-2.280699,0
82,CoRoT-25 b,3.0,Transit,85.813561,12.1068,4.86069,0.0,505.44586,0.075279299,0.0578,306.7484662576687,1.09,1.19,F9,Ophiuchus,18.708645,6.513829,0
83,CoRoT-26 b,3.0,Transit,165.27056,14.1246,4.20474,0.0,1013.1423,0.064832669,0.0526,512.2699386503068,1.09,1.79,G5,Ophiuchus,18.650035,6.969787,0
84,CoRoT-27 b,3.0,Transit,3302.233,11.28847,3.57532,0.065,560.07952,0.079710894,0.047700555,317.5306748466258,1.05,1.08,G2,Serpens,18.566389,5.538462,0
85,CoRoT-28 b,3.0,Transit,153.82875,10.70555,5.20851,0.047,549.79799,0.083423344,0.060366601,171.7791411042945,1.01,1.78,G8/9 IV,Serpens,18.579224,5.573729999999999,0
86,CoRoT-29 b,3.0,Transit,270.1538,10.089,2.85057,0.082,374.11667,0.088633847,0.038729773,234.66257668711657,0.97,0.9,K0 V,Ophiuchus,18.593475,6.4796510000000005,0
87,CoRoT-3 b,3.0,Transit,6884.1545,11.3221,4.2568,0.0,1381.127,0.078362194,0.057078415,208.58895705521473,1.37,1.56,F3 V,Aquila,19.470352,0.12182,0
88,CoRoT-4 b,3.0,Transit,228.83616,13.3399,9.20205,0.0,222.29922,0.071916717,0.09,227.48466257668713,1.16,1.17,,Monoceros,6.8129779,0.672774,0
89,CoRoT-5 b,3.0,Transit,148.42568,15.55948,4.0378962,0.09,720.74916,0.059920464,0.049670354,277.5,1.0,1.19,F9 V,Monoceros,6.7518173,0.815239,0
90,CoRoT-6 b,3.0,Transit,940.77089,13.07086,8.886593,0.1,176.28215,0.074394253,0.0859275,201.6073619631902,1.05,1.02,F9 V,Ophiuchus,18.738169,6.663194000000001,0
91,CoRoT-7 b,3.0,Transit,3.17828,1.6815,0.85359163,0.0,1759.7036,0.2711924,0.016479635,49.2760736196319,0.82,0.83,G9 V,Monoceros,6.7304087,-0.936967,0
92,CoRoT-7 c,3.0,Radial Velocity,8.4001941,,3.698,0.0,225.84944,0.22191743,0.046,49.2760736196319,0.82,0.83,G9 V,Monoceros,6.7304087,-0.936967,0
93,CoRoT-8 b,3.0,Transit,69.922161,6.3897,6.21229,0.0,89.134092,0.13742542,0.063,116.56441717791412,0.88,0.77,K1 V,Aquila,19.439236,1.426452,0
94,CoRoT-9 b,3.0,Transit,266.97552,11.94986,95.272656,0.133,5.158561,0.2348433,0.40565637,128.18711656441718,0.96,0.96,G3 V,Serpens,18.719115,6.204172,0
95,CoRoTID 223977153 b,3.0,Transit,47.6742,6.3897,6.71837,,140.90404,0.13283036,0.071,179.81595092024543,1.08,0.79,G0 VI,Monoceros,6.6796792,9.257431,0
96,DE CVn b,3.0,Eclipse Timing Variations,3823.2484,,4098.1,0.0,,,5.75,9.37116564417178,0.51,,,Canes Venatici,13.448131,45.546302999999995,0
97,DENIS-P J082303.1-491201 b,3.0,Astrometry,9058.0981,,246.36,0.345,,,0.3814245,6.371165644171779,0.07,,L1.5,Vela,8.3842038,-48.799640999999994,0
98,DH Tau b,3.0,Imaging,3496.108,,,,,,330.0,42.944785276073624,0.33,0.27,M0.5,Taurus,4.4948774,26.54952,0
99,DP Leo b,3.0,Eclipse Timing Variations,1922.8594,,10220.0,0.39,4.8181864e-05,0.070085617,8.8128495,93.57668711656443,,0.01,,Leo,11.287778,17.961417,0
100,DS Tuc A b,3.0,Transit,,5.70589,8.138268,0.0,113.61817,0.14622437,0.079427582,13.533742331288344,1.01,0.96,G6 V,Tucana,23.660967,-68.804253,0
101,EPIC 201238110 b,3.0,Transit,,1.87207,28.1656,,,,0.13456027,49.07361963190184,0.41,,,Virgo,11.980396,-2.610611,0
102,EPIC 201497682 b,3.0,Transit,,0.69502,2.13174,,,,0.029833021,78.1840490797546,0.78,,,Leo,11.262444,0.488114,0
103,EPIC 201615463 c,3.0,Transit,,1.22189,3.80464,,,,0.048773043,147.54601226993867,1.07,,,Virgo,12.345887,2.282436,0
104,EPIC 201754305 d,3.0,Transit,,1.03132,2.71578,,,,0.033327101,103.73926380368098,0.67,,K3 V,Virgo,11.673151,4.55734,0
105,EPIC 201833600 c,3.0,Transit,,0.99769,3.96151,,,,0.041545756,79.54907975460122,0.61,,,Leo,11.298909,5.988378,0
106,EPIC 201841433 b,3.0,Transit,,1.09858,4.16959,,,,0.047054567,135.56441717791412,0.8,,,Virgo,11.680452,6.134857,0
107,EPIC 205950854 c,3.0,Transit,,1.31157,8.050722,,99.761011,0.30040596,0.075317114,75.32515337423314,0.88,0.83,,Aquarius,22.207327,-15.658244999999999,0
108,EPIC 206024342 b,3.0,Transit,,1.70392,4.50756,,,,0.052115256,114.66564417177915,0.93,,,Aquarius,22.085149,-13.878335,0
109,EPIC 206032309 b,3.0,Transit,,1.0089,2.87814,,,,0.023899659,49.720858895705526,0.22,,,Aquarius,22.749381,-12.099079,0
110,EPIC 206042996 b,3.0,Transit,,1.62545,5.29711,,,,0.049007764,140.26687116564418,0.56,,,Aquarius,22.500907,-12.389887,0
111,EPIC 206215704 b,3.0,Transit,,0.8968,2.25372,,,,0.024986426,33.809815950920246,0.41,,,Aquarius,22.339656,-8.490469,0
112,EPIC 206317286 b,3.0,Transit,,0.96406,1.58252,,,,0.023704372,97.30061349693251,0.71,,,Aquarius,22.50784,-6.027594,0
113,EPIC 211822797 b,3.0,Transit,,1.98417,21.169861,0.06,5.0317823,0.47295382,0.1312358,57.42024539877301,0.66,0.57,M0,Cancer,8.6940251,17.640005,0
114,EPIC 211945201 b,3.0,Transit,,5.76194,19.49221,,105.35792,0.14598589,0.1493,56.0398773006135,1.17,1.39,G0,Cancer,9.1049321,19.402251999999997,0
115,EPIC 212297394 b,3.0,Transit,,1.32278,2.28943,,,,0.031941391,129.86196319018407,0.83,,,Virgo,13.813749,-16.390095,0
116,EPIC 212424622 b,3.0,Transit,,2.17474,18.0983,,,,0.13965047,191.00306748466258,1.11,,,Virgo,13.488762,-13.640537,0
117,EPIC 212499991 b,3.0,Transit,,1.60303,34.885,,,,0.20243356,87.61042944785277,0.91,,,Virgo,13.499252,-11.265277000000001,0
118,EPIC 212587672 b,3.0,Transit,,1.121,15.2841,,,,0.11846153,99.04294478527608,0.95,,,Virgo,13.696314,-9.137568,0
119,EPIC 212737443 b,3.0,Transit,,2.58951,13.603,0.2,20.573967,0.28611074,0.09996,106.579754601227,0.69,0.67,K3,Virgo,13.61478,-6.681856,0
120,EPIC 212737443 c,3.0,Transit,,2.6904,65.55,0.2,2.5203109,0.55484659,0.2856,106.579754601227,0.69,0.67,K3,Virgo,13.61478,-6.681856,0
121,EPIC 220554210 c,3.0,Transit,,1.47972,0.70531,,,,0.015187007,154.07361963190183,0.94,,,Pisces,0.89546785,7.995316,0
122,EPIC 220674823 b,3.0,Transit,,1.81602,0.571331,,4770.3352,0.264088,0.0134,75.49079754601227,0.97,0.98,G5 V,Pisces,0.87198538,10.794699,0
123,EPIC 220674823 c,3.0,Transit,,2.73524,13.339079,,71.962956,0.23785034,0.1091,75.49079754601227,0.97,0.98,G5 V,Pisces,0.87198538,10.794699,0
124,EPIC 246851721 b,3.0,Transit,953.48401,11.78171,6.180235,,641.28856,0.07660444,0.07229,103.28220858895706,1.32,1.59,F5 V,Taurus,5.2613167,16.278741999999998,0
125,EPIC 246865365 b,3.0,Transit,,9.90964,3.38628,,925.09025,0.088231145,0.045408131,,1.09,1.24,,Taurus,5.2226092,16.414202,0
126,EPIC 248847494 b,3.0,Transit,4131.764,12.4431,3650.0,0.0,0.18563774,0.22658077,4.5,171.7791411042945,0.9,2.7,,Leo,10.625952,11.842731,0
127,FU Tau b,3.0,Imaging,5085.248,,,,,,800.0,42.944785276073624,0.05,,M7.25,Taurus,4.3932608,25.049898000000002,0
128,Fomalhaut b,3.0,Imaging,,,555530.0,0.87,,,220.552,2.361963190184049,1.92,,A3 V,Piscis Austrinus,22.960847,-28.377764,0
129,GJ 1132 b,3.0,Transit,1.6590622,,1.628931,0.22,19.78373,0.35877177,0.01567026,3.871165644171779,0.18,0.21,M4.5 V,Vela,10.247716,-46.843273,0
130,GJ 1132 c,3.0,Transit,2.6411507,,8.929,0.27,2.0708138,0.72328994,0.04933502,3.871165644171779,0.18,0.21,M4.5 V,Vela,10.247716,-46.843273,0
131,GJ 1148 b,3.0,Radial Velocity,96.69917,,41.38,0.38,0.63834824,0.38216808,0.1779852,3.3803680981595092,0.35,0.4,M4,Ursa Major,11.695732,42.751972,1
132,GJ 1148 c,3.0,Radial Velocity,68.059689,,532.58,0.342,0.020817585,0.11079477,0.96533558,3.3803680981595092,0.35,0.4,M4,Ursa Major,11.695732,42.751972,0
133,GJ 1214 b,3.0,Transit,6.2612117,2.84734,1.5804046,,18.262309,0.28108586,0.01411,4.493865030674847,0.15,0.22,M4.5,Ophiuchus,17.255257,4.96392,0
134,GJ 1265 b,3.0,Radial Velocity,7.3990359,,3.6511,0.04,5.2508658,0.42395713,0.0260208,3.147239263803681,0.18,0.19,M4.5 V,Aquarius,22.22858,-16.314229,0
135,GJ 143 b,3.0,Transit,22.699276,2.61193,35.61253,0.188,5.4895274,0.41786258,0.19488419,5.00920245398773,0.73,0.69,K4.5,Reticulum,3.4497848,-62.5009,0
136,GJ 163 b,3.0,Radial Velocity,10.599564,,8.63182,0.073,5.3391293,0.3882952,0.060861735,4.644171779141105,0.4,0.382,M3.5 V,Dorado,4.1543517,-52.626301,0
137,GJ 163 c,3.0,Radial Velocity,6.8015193,,25.63058,0.099,1.2538086,0.68670545,0.12601452,4.644171779141105,0.4,0.382,M3.5 V,Dorado,4.1543517,-52.626301,0
138,GJ 163 d,3.0,Radial Velocity,29.39909,,603.95116,0.373,0.019916215,0.15474439,1.1020793,4.644171779141105,0.4,0.382,M3.5 V,Dorado,4.1543517,-52.626301,0
139,GJ 179 b,3.0,Radial Velocity,260.61896,,2288.0,0.21,0.0029385638,0.067884657,2.4631405,3.791411042944785,0.36,0.38,M3.5 V,Orion,4.8682579,6.476539,0
140,GJ 273 b,3.0,Radial Velocity,2.8890565,,18.6498,0.1,1.1937549,0.84342178,0.091556505,1.165644171779141,0.29,0.29,M3.5,Canis Minor,7.4568058,5.225785,0
141,GJ 273 c,3.0,Radial Velocity,1.1791419,,4.7234,0.17,7.5222369,0.45850136,0.036993948,1.165644171779141,0.29,0.29,M3.5,Canis Minor,7.4568058,5.225785,0
142,GJ 3021 b,3.0,Radial Velocity,1071.0804,,133.71,0.511,3.3123323,0.28477569,0.55397465,5.386503067484663,0.9,0.9,G6 V,Hydrus,0.27018821,-78.148819,0
143,GJ 3138 b,3.0,Radial Velocity,1.7798368,,1.22003,0.19,112.21488,0.30283713,0.020055585,8.739263803680982,0.68,0.5,M0,Cetus,2.1530284,-15.660407999999999,0
144,GJ 3138 c,3.0,Radial Velocity,4.1794382,,5.974,0.11,13.240144,0.35515277,0.05734485,8.739263803680982,0.68,0.5,M0,Cetus,2.1530284,-15.660407999999999,0
145,GJ 3138 d,3.0,Radial Velocity,10.501037,,257.8,0.32,0.092628927,0.30452358,0.7337376,8.739263803680982,0.68,0.5,M0,Cetus,2.1530284,-15.660407999999999,0
146,GJ 317 b,3.0,Radial Velocity,794.57001,,692.0,0.11,,,1.1569575,4.631901840490798,0.42,,M2.5 V,Pyxis,8.6831158,-22.543711000000002,0
147,GJ 317 c,3.0,Radial Velocity,489.45512,,5312.0,0.308,,,4.6725855,4.631901840490798,0.42,,M2.5 V,Pyxis,8.6831158,-22.543711000000002,0
148,GJ 328 b,3.0,Radial Velocity,731.00441,,4100.0,0.37,,,4.808025,6.300613496932516,0.69,,M1,Hydra,8.9187841,1.5465079999999998,0
149,GJ 3293 b,3.0,Radial Velocity,23.538342,,30.5987,0.06,1.008018,0.52122719,0.1436481,6.196319018404908,0.42,0.4,M2.5,Eridanus,4.4765882,-24.830699,0
150,GJ 3293 c,3.0,Radial Velocity,21.091066,,122.6196,0.11,0.15905572,0.30684382,0.36393859,6.196319018404908,0.42,0.4,M2.5,Eridanus,4.4765882,-24.830699,0
151,GJ 3293 d,3.0,Radial Velocity,7.5992676,,48.1345,0.12,0.55403568,0.61973842,0.19533637,6.196319018404908,0.42,0.4,M2.5,Eridanus,4.4765882,-24.830699,1
152,GJ 3293 e,3.0,Radial Velocity,3.279985,,13.2543,0.21,3.140812,0.59736812,0.083889864,6.196319018404908,0.42,0.4,M2.5,Eridanus,4.4765882,-24.830699,0
153,GJ 3323 b,3.0,Radial Velocity,2.0213861,,5.3636,0.23,1.2256729,0.89839814,0.033688089,1.6319018404907977,0.16,0.12,M4,Eridanus,5.0326189,-5.053737,0
